metabolite,shap_mean_abs,shap_rank,log2fc,effect_size,p_value,abs_log2fc,fc_rank,p_adjusted,neg_log10_p,pval_rank,combined_score,final_rank
2-Tridecanone,0.0028030199039121,43.5,4.82542456819629,-7.843929450598109,0.1176470588235294,4.82542456819629,101.0,0.1666169005673335,0.7782809486022882,60.5,68.33333333333333,107
2-Undecanol,0.0013191489361702,124.5,6.787469174005659,-10.107074157630644,0.1176470588235294,6.787469174005659,22.0,0.1666169005673335,0.7782809486022882,60.5,69.0,108
trans-β-Ocimene,0.0033017077798861,36.0,4.67461843944839,-5.329801866095927,0.1176470588235294,4.67461843944839,111.0,0.1666169005673335,0.7782809486022882,60.5,69.16666666666667,109
"Sulfurous acid, di(2-ethylhexyl) ester",0.0023191489361702,70.5,5.488446645055244,-13.556274776968204,0.1176470588235294,5.488446645055244,77.0,0.1666169005673335,0.7782809486022882,60.5,69.33333333333333,110
"1-Octanol, 2-butyl-",0.0023191489361702,70.5,5.472436520967099,-10.420072374034849,0.1176470588235294,5.472436520967099,79.0,0.1666169005673335,0.7782809486022882,60.5,70.0,111
"1-Hexanol, 2-ethyl-",0.0038030199039121,21.5,3.887170142046749,-3.596792130630801,0.1176470588235294,3.887170142046749,128.0,0.1666169005673335,0.7782809486022882,60.5,70.0,112
"Butanal, 2-methyl-",0.002,91.5,5.832446971075554,-2.6984139287998223,0.1176470588235294,5.832446971075554,58.0,0.1666169005673335,0.7782809486022882,60.5,70.0,113
Methional,0.0034355444305381,28.0,4.19733223410239,-5.752924265867535,0.1176470588235294,4.19733223410239,122.0,0.1666169005673335,0.7782809486022882,60.5,70.16666666666667,114
"2,3-Pentanedione",0.0023191489361702,70.5,5.400061630237473,-0.8947050743139252,0.1176470588235294,5.400061630237473,80.0,0.1666169005673335,0.7782809486022882,60.5,70.33333333333333,115
Indole,0.0023191489361702,70.5,5.369846031548132,-8.63606451196919,0.1176470588235294,5.369846031548132,82.0,0.1666169005673335,0.7782809486022882,60.5,71.0,116
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",0.0023191489361702,70.5,5.259469938175842,-8.222944312673492,0.1176470588235294,5.259469938175842,84.0,0.1666169005673335,0.7782809486022882,60.5,71.66666666666667,117
Acetic acid ethenyl ester,0.0059574468085106,3.0,2.975218898265945,-3.879860351416739,0.1176470588235294,2.975218898265945,152.0,0.1666169005673335,0.7782809486022882,60.5,71.83333333333333,118
"Guanidine, methyl-",0.0024838709677419,53.5,4.796849679300035,2.2660639340939213,0.1176470588235294,4.796849679300035,102.0,0.1666169005673335,0.7782809486022882,60.5,72.0,119
2-Butanone,0.0014838709677419,107.5,6.015245185667508,-1.5727175653459753,0.1176470588235294,6.015245185667508,50.0,0.1666169005673335,0.7782809486022882,60.5,72.66666666666667,120
"1-Hexanol, 2-ethyl-",0.0033191489361702,32.0,3.887170142046749,-3.596792130630801,0.1176470588235294,3.887170142046749,128.0,0.1666169005673335,0.7782809486022882,60.5,73.5,121
"Disulfide, dimethyl",0.001,161.5,-28.3986386807096,-0.7098094917677709,0.1176470588235294,28.3986386807096,1.0,0.1666169005673335,0.7782809486022882,60.5,74.33333333333333,122
"Disulfide, dimethyl",0.001,161.5,-28.3986386807096,-0.7098094917677709,0.1176470588235294,28.3986386807096,1.0,0.1666169005673335,0.7782809486022882,60.5,74.33333333333333,123
"Disulfide, dimethyl",0.001,161.5,-28.3986386807096,-0.7098094917677709,0.1176470588235294,28.3986386807096,1.0,0.1666169005673335,0.7782809486022882,60.5,74.33333333333333,124
"2,3-Pentanedione",0.0022015018773466,83.0,5.400061630237473,-0.8947050743139252,0.1176470588235294,5.400061630237473,80.0,0.1666169005673335,0.7782809486022882,60.5,74.5,125
"Disulfide, dimethyl",0.001,161.5,11.618482223654077,-10.775293270592718,0.1176470588235294,11.618482223654077,3.0,0.1666169005673335,0.7782809486022882,60.5,75.0,126
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",0.002,91.5,5.5628764040355465,-9.48847477070928,0.1176470588235294,5.5628764040355465,73.0,0.1666169005673335,0.7782809486022882,60.5,75.0,127
"Disulfide, dimethyl",0.001,161.5,11.618482223654077,-10.775293270592718,0.1176470588235294,11.618482223654077,3.0,0.1666169005673335,0.7782809486022882,60.5,75.0,128
"Disulfide, dimethyl",0.001,161.5,11.618482223654077,-10.775293270592718,0.1176470588235294,11.618482223654077,3.0,0.1666169005673335,0.7782809486022882,60.5,75.0,129
Octadecane,0.0023191489361702,70.5,5.05238858357674,-8.23552300960536,0.1176470588235294,5.05238858357674,94.0,0.1666169005673335,0.7782809486022882,60.5,75.0,130
2-Butanone,0.0014838709677419,107.5,5.836588341816007,-15.213560523376538,0.1176470588235294,5.836588341816007,57.0,0.1666169005673335,0.7782809486022882,60.5,75.0,131
"Butanal, 2-methyl-",0.0014838709677419,107.5,5.832446971075554,-2.6984139287998223,0.1176470588235294,5.832446971075554,58.0,0.1666169005673335,0.7782809486022882,60.5,75.33333333333333,132
