metabolite,mean_c0,mean_c1,log2fc,effect_size,p_value
"Propane, 2-methoxy-2-methyl-",-0.512943876274235,-2.818460905908681,2.458034671512732,-1.9967770219125318,0.18349490352664355
2-Pentanone,0.13722467828440413,0.0256194090385034,-2.4212308085902725,-0.17323760586378212,0.11764705882352941
"Propanal, 2-methyl-",-0.9041702555246987,-4.686309491941915,2.3737858734647435,-2.0571706401286076,0.11764705882352941
Methional,-0.8056591515159831,-4.156512634113716,2.3671320831453424,-1.4757000414032073,0.11764705882352941
"2-Butenal, (E)-",-0.3014923657370833,-1.5207716722933995,2.3346101914444546,-1.9963116768338776,0.11764705882352941
Tolycaine,-0.5903590137132645,-2.956929335238224,2.324435298880132,-2.035382581644508,0.21782989900919358
Methional,-0.2767006293226668,-1.3210993500572308,2.2553411388487015,-2.2224272948188117,0.11764705882352941
"Methylamine, N,N-dimethyl-",-0.17452478667025367,-0.7686794472595894,2.1389501529920234,-0.44194448390659086,0.26127981237143116
"Benzenepropionic acid, 2-tetradecyl ester",-0.202502049300523,-0.8450015009908813,2.0610174014975158,-1.4360275069809112,0.29683746844566805
Benzeneacetaldehyde,-0.34519896219370827,-1.3464659494519535,1.9636777170224908,-2.0603289786180654,0.11764705882352941
3-Carene,-0.3785558345606151,-1.4447076612084246,1.93219958424157,-1.5499195972387352,0.11764705882352941
2-Butyl-3-(4-β-diethylaminoethoxybenzoyl)benzofuran,-0.6565570265343634,-2.4566551415080067,1.9037031222118184,-1.461363273745282,0.35714528136776746
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",-0.3259905303096343,-1.2056849594960164,1.8869510280814308,-1.7130277190532586,0.11764705882352941
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",-0.3355903825080213,-1.24104156948346,1.88677816729549,-1.812560804937222,0.11764705882352941
"1-Naphthalenamine, N-phenyl-",-0.5045833854763262,-1.807831226233625,1.8410953920820337,-0.9741189616233139,0.3580317561057298
Benzeneacetaldehyde,-0.3567799767479486,-1.061748778656496,1.573335896295255,-1.4589225346685457,0.11764705882352941
Benzeneacetaldehyde,-0.34856164592341554,-0.970509375503964,1.4773283218115367,-1.3758291193604502,0.11764705882352941
"Pentane, 3-methyl-",-0.3497992317620854,-0.950647226232433,1.4423829554207261,-0.6312583815198631,0.35714528136776746
Tolycaine,-0.5643577223048548,-1.380432574615264,1.2904386040749678,-0.22070761366612024,0.21782989900919358
"Disulfide, dimethyl",0.7994538580586141,1.5827619277678804,0.9853575934879161,0.293023246009218,0.11764705882352941
Acetone,-1.1884344828124245,3.93791165996174,,2.1681217642015267,0.11764705882352941
"1,3-Dioxolane",1.140086152794978,-28.250474751534732,,-5.373222720788285,0.11764705882352941
"1,3-Dioxolane, 2-ethyl-",0.8918035323262476,-16.690656594098,,-4.736075324162886,0.11764705882352941
"Propane, 2-methoxy-2-methyl-",0.06485364366741676,-1.3450784188340363,,-1.725044638283696,0.18349490352664355
"Propane, 2-methoxy-2-methyl-",0.09460737641780964,-0.8329755480453229,,-1.1697172403610248,0.18349490352664355
"2-Butenal, (Z)-",0.5179951252838375,-11.95670543708413,,-8.09639088306359,0.11764705882352941
n-Hexane,0.5248180046322699,-1.3536145677006783,,-1.4559627757914886,0.11764705882352941
"Butanal, 3-methyl-",-0.8619883394859005,0.3719477910445919,,0.6384677508298972,0.11764705882352941
"Butanal, 2-methyl-",0.059716109816853186,-1.7205823487356215,,-1.203695346449808,0.11764705882352941
"Butanal, 2-methyl-",0.22905280592958213,-0.6328107973743379,,-0.6788037455440302,0.11764705882352941
"Butanal, 2-methyl-",0.03391029359778788,-3.378516781570832,,-1.8906854597566456,0.11764705882352941
"Butanal, 2-methyl-",0.3977978949448004,-1.0092059518119196,,-1.3492734087730094,0.11764705882352941
"Butanal, 3-methyl-",0.12953619343586265,-0.6052463097882157,,-1.5300179814941182,0.11764705882352941
"Butanal, 3-methyl-",0.28257014735865293,-0.758980806216011,,-1.9449871957883922,0.11764705882352941
"Butanal, 3-methyl-",0.13418155993511316,-1.5562034274729484,,-2.7831192412849823,0.11764705882352941
"Butanal, 3-methyl-",0.012374453232489785,-0.872296864131216,,-1.960917867725489,0.11764705882352941
"Butanal, 3-methyl-",0.1455817608276361,-2.70493846593728,,-3.3034416500702095,0.11764705882352941
"Butanal, 2-methyl-",0.0881960332051627,-0.6836725747739387,,-1.6098937116622973,0.11764705882352941
"Butanal, 2-methyl-",0.14117603228747222,-0.6074667355426162,,-1.462969431634558,0.11764705882352941
"Butanal, 3-methyl-",0.03347290000717062,-5.283457351152864,,-6.640793486005913,0.11764705882352941
"Butanal, 2-methyl-",0.028951143417617453,-0.8002379701365704,,-1.5124001970089287,0.11764705882352941
"2,3-Pentanedione",-0.2664854877583094,0.1404283986165863,,0.8213838391917048,0.11764705882352941
"Butanal, 2-methyl-",0.10245700407775282,-4.574484094101568,,-4.986744458256464,0.11764705882352941
"Butanal, 3-methyl-",0.25279573591968396,-4.305426592575708,,-7.090366110197842,0.11764705882352941
"Butanal, 2-methyl-",0.3400124630459237,-1.0135030573249129,,-2.47828764118938,0.11764705882352941
"Butanal, 2-methyl-",0.3294366229281236,-0.9989894808500293,,-2.469050200183765,0.11764705882352941
2-Pentanone,0.052714301181040965,-1.2509262537566816,,-1.3802113624943284,0.11764705882352941
"2,3-Pentanedione",0.06623262377094455,-1.772885110709573,,-2.3147381504617335,0.11764705882352941
"2,3-Pentanedione",0.06453388869113535,-2.5232252369341786,,-3.1562548319730386,0.11764705882352941
