compound_name,hit_match_factor,match_quality,retention_time,cluster,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
"Butanal, 2-methyl-",904,Excellent,2.757483333333333,1,13.068579670340036,13.66957051874799,12.847491841740473,13.43173299702367,18.64650441191213,19.09188698855693,18.84179746019901,18.19418869312125,12.212649730250238,15.777845930324569,14.60484273642235,13.26693060870994,18.414866443003195,18.960766728970928,18.23155866975946,18.784369472529846,13.97135615966866
"Butanal, 2-methyl-",918,Excellent,2.757483333333333,1,13.10165458356186,13.677797400462458,12.767343420159907,10.53259436862514,18.599034382182776,19.036513014046005,18.765315565810752,18.11379107998157,11.738347253497835,15.71905481997307,14.313752939996233,13.143301598025865,18.356037481280605,15.17385715016816,18.182028105538347,14.799205996308492,13.88757269261182
"Butanal, 2-methyl-",903,Good,2.757483333333333,1,17.348255912644476,17.304274045568324,16.68735720746809,12.269618726373713,18.75946605282333,19.17220846260169,18.862723216468893,18.19473941520068,12.875779446591704,15.75018916958763,16.229485196984516,17.249362530415105,18.49574913405832,16.511973130501836,18.33560396525404,16.759963557675068,17.693946970559004
"Butanal, 3-methyl-",898,Fair,2.757483333333333,1,17.977691123869814,17.905862271649177,17.343759031500156,12.674778649616943,16.606750206657292,16.58535288821509,14.853752918491177,12.862743156746705,0.0,0.0,0.0,18.017561175169405,16.171033112926573,16.10546684569077,16.263936132196182,17.250396469422544,18.387689182907405
"Butanal, 3-methyl-",896,Good,2.757483333333333,1,18.453574130789047,18.368103721862635,17.78667927132586,10.23376778390195,15.231223131469342,15.675369909463738,15.733774753906111,15.139360146743192,0.0,12.322665399525263,12.71104681354524,18.42139149546837,15.147159939099565,15.620810065523813,14.830128469961805,17.050992078903136,18.790343206334807
"Butanal, 2-methyl-",858,Good,2.757483333333333,1,13.819626753328814,14.133291685847013,13.287655520885645,10.862851452622984,18.541237913621583,18.977083791056263,18.70267969263353,18.0440314834636,12.221658668410312,15.668322199685385,14.166435908921024,13.732644756062289,18.29458307947721,16.19061595038023,18.12667498135385,15.758934137727882,14.381589423197186
"2,3-Pentanedione",737,Fair,2.7718333333333334,1,10.816377811578072,10.252431404841705,9.72227435088585,10.443804934019674,0.0,10.30898812889367,9.904385134314646,10.573528692999568,11.793811830978129,10.88668499786699,16.09014978566044,0.0,0.0,10.330851684709932,10.531261919240665,0.0,0.0
"Butanal, 2-methyl-",905,Excellent,2.82925,1,17.05981019442705,16.682734629351792,15.883101466190428,17.052609672760983,16.050388447699266,16.316565050561838,16.466220056662113,15.95254816665999,11.11632336778385,15.026576514163793,14.821594287582048,16.86629754609118,16.566641058929836,18.92370097033901,15.552853246005004,18.756933244034585,17.398135268567934
"Butanal, 3-methyl-",858,Good,2.8328333333333333,1,16.628324234073173,16.634787860906176,15.302953728973623,18.104959966838948,12.386555760187164,12.992535069303688,13.472362635620115,12.309604423064316,0.0,10.864816226291117,12.115560696613455,15.438763019996824,13.108081354183266,15.35654802380126,12.24085460616703,15.298195252093766,15.959506516943296
"Butanal, 2-methyl-",935,Excellent,2.883083333333333,1,18.70549378434873,18.55605431366884,18.027960401452457,18.76445360845829,14.211078360070724,14.62212250101393,14.812659501571076,13.91489814207012,10.7126614982025,11.766717788203858,14.644826069075496,18.5382290866522,14.5912766570147,17.467710513757105,14.492855988133575,16.943720006803158,18.950131641515547
"Butanal, 2-methyl-",874,Good,2.883083333333333,1,18.627281925691303,18.47762714544588,17.950444614119444,18.6829065806816,14.176948053895362,14.509747130876804,14.710473345398034,13.831998166223729,10.6455678850055,11.775464523900714,14.448432883529,18.463484882643268,14.444659110202169,16.999424928347008,14.394467602367452,16.44852110079835,18.87342451545232
2-Pentanone,781,Fair,3.109166666666667,1,11.674488913057134,11.37639912448654,10.972800734794806,13.040962055395964,14.22545940926138,14.14730045917667,13.777934607146916,13.929739491450844,6.976909492072413,13.314026138922056,8.807126728914444,11.45860125762361,14.271008417511744,11.42607117272087,13.668832847512531,13.834308426739812,11.852007550599923
2-Pentanone,913,Excellent,3.17735,1,14.820592463566433,14.44010652148509,14.992358178482084,14.686383385557043,12.123059988742456,11.867142126398113,12.853909664569342,12.96731276416356,0.0,9.20284095914169,0.0,14.723865796497968,12.3388333186814,14.704290446372562,11.697031941247229,12.18957638679298,15.18590580834071
2-Pentanone,772,Fair,3.17735,1,15.161055942507884,14.85896868422183,15.203775031148034,15.03988465062047,12.956508735552552,13.092814138685116,13.264957411885089,13.307200934514729,13.573885765867528,11.522415857576965,11.34411711051752,14.964726718830963,13.522664147364448,15.08716830760263,12.942216955862206,13.040555999983026,15.443311424853956
2-Pentanone,861,Good,3.17735,1,14.658846060678297,14.2156567396541,14.918104740719642,14.55629058449552,9.74733537349596,9.43269380609122,10.664417906956745,11.047075482883988,4.5204802427538375,0.0,0.0,14.710687846712853,10.554742086743904,14.752911265867969,9.9883227135887,10.389755261942154,15.136356299365366
2-Pentanone,796,Fair,3.17735,1,15.062230240217229,14.728319629840788,15.173964094549309,15.009266258752518,14.4387253599265,14.407585243036396,14.155322585201471,14.173650205695251,13.289903723739034,13.3762793849596,10.412522473035311,14.951503790883612,14.441655775521316,15.040876092119458,14.03844318123834,14.136142063048936,15.374794504497212
