metabolite,mean_c0,mean_c1,log2fc,effect_size,p_value,p_adjusted,significant
n-Decanoic acid,-1.0546725368029832,0.1474206240070936,,-5.9050684475028765,0.01447981019775965,0.035508779449592756,True
n-Decanoic acid,-0.7753882413220184,0.18808583352965993,,-23.01886519246837,0.01447981019775965,0.035508779449592756,True
.alfa.-Copaene,-1.0329873031868821,0.5469098793804525,,-2.9866022164954487,0.015725054666416348,0.035508779449592756,True
.alfa.-Copaene,-1.0302426495398411,0.5495629665662236,,-2.9800529896561794,0.015725054666416348,0.035508779449592756,True
"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, [3aS-(3aα,3bβ,4β,7α,7aS*)]-",-1.2536321328347348,0.749984088633221,,-2.5817671065936603,0.010409879206759102,0.035508779449592756,True
"Indole, 3-methyl-",-0.8950889829929384,0.19039786599866418,,-5.980684602693916,0.015725054666416348,0.035508779449592756,True
α-Cubebene,-1.1443171139119186,0.6619252693252512,,-2.773965575659222,0.010409879206759102,0.035508779449592756,True
2-Dodecanone,-1.2006093216221667,0.24967974250697425,,-4.905094937001904,0.015725054666416348,0.035508779449592756,True
Tetradecane,-0.959044418641154,0.1783898610180959,,-5.8804060848083255,0.01447981019775965,0.035508779449592756,True
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",-0.923817436388469,0.10314323187164405,,-24.871655402214326,0.016163494588165878,0.035508779449592756,True
