compound_name,hit_match_factor,match_quality,retention_time,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
"Benzene, 1-methyl-3-(1-methylethyl)-",774,Good,15.798583333333331,0.29750712358577414,-0.14217384308306744,0.14885729045202098,0.5181975480303854,-0.0030205655730104215,-0.26796484231188566,0.36296370332889183,-8.561824085618204,-3.7321468691545996,-0.6370362966711082,-0.6378648708426272,0.0,0.39055901377653957,0.4239596778026092,-1.5516718577490458,1.0669186429851163,0.31980635969774496
"1,3,5-Cycloheptatriene, 3,7,7-trimethyl-",843,Fair,15.798583333333331,0.0,-1.274661669370539,-0.42186410874297553,0.6611399336070238,0.7113661145791169,0.3866177529954258,0.43221617519356664,-26.658855341631508,-11.791960920374933,-0.5677838248064333,-0.14920760454978263,-0.11278011870782036,0.36546160016222545,0.6902044358323709,-5.524240426069996,2.317095566546479,0.3829836803112996
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",934,Excellent,15.93855,-1.1406160170668038,-0.9596120497820532,-1.0210145590866195,-0.9287909265706374,0.0811056206081091,0.040387950217946826,-0.8352825152394395,-0.9629217768058053,-1.24104156948346,0.037132641868960904,0.030581564005750465,0.05706480604296865,-0.018100092754704852,0.031610749898639365,0.06689919751449308,0.15210928702085408,0.0
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",931,Excellent,15.93855,-0.9890887002836496,-0.7233847499425782,-0.8896862494733712,-0.9532403038090883,0.09956510469562033,0.04675969619091169,-1.0221607727417223,-1.2643936401290508,-1.2056849594960164,0.04148213954121274,0.03813029000339928,0.0731242108041773,-0.023851749641612414,0.040416819205280556,0.11376308794343028,0.196716332682892,0.0
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",934,Excellent,15.93855,-0.9789172403268398,-0.7541803543193296,-0.8481998333145848,-0.9036278829993137,0.19515715649312204,0.09637211700068622,-0.9563044064567078,-2.571890295607108,-2.2722847589843567,0.08858640769079394,0.0686445071258141,0.13536885517279384,-0.048329260350791214,0.07532982152379752,0.21010863662091453,0.3660038917493209,0.0
"1-Hexanol, 2-ethyl-",920,Excellent,16.12515,-0.3619997426565864,-0.6909491200586501,-0.6701746370778608,-0.8229332711559364,0.32982536292213915,0.13778942273586764,-0.7372269104828054,0.6585819333193856,-4.3883194533347725,2.519811455752881,0.3450788497263977,0.006497672759790257,0.9162817217827339,-0.023183214980419208,-0.23271364993142438,0.19300746355670287,0.0
"1-Hexanol, 2-ethyl-",912,Excellent,16.12515,-0.3916957070313997,-0.9078516912595848,-0.7194228089755429,-1.2446198806164999,0.6835491716161648,0.35180275270251576,-0.0007891740172365999,-0.5473250273544089,-7.194964291129892,5.0975826100295105,0.6950213559368912,0.0,1.9011272599980584,0.22747301312631799,-0.23117762020286606,0.4526749726455911,0.20530074913794788
"1-Hexanol, 2-ethyl-",933,Excellent,16.12515,-0.6033034617768656,-1.1047700639698717,-0.9175601204387992,-1.4322397716142912,0.361513261145258,0.0,-0.27275237963790844,0.39492813697707085,-6.358269377195669,4.306800285023394,0.1854503868983063,-0.3915705873665904,1.3832283885841994,0.01029299962983974,-0.8145496131016937,0.0007014150791160908,0.07301237210156236
"1-Hexanol, 2-ethyl-",908,Excellent,16.12515,-0.7303671849400373,-0.8550254866893217,-0.8596319753055713,-0.8980112529635242,0.17166080306528747,0.07852211971252154,-0.9817143037518999,-0.5721573372567251,-2.2852338480908356,1.2417030704282508,0.17691790888737938,0.0,0.47329314723805943,0.1449745133106784,-0.10598232456290341,0.10065934698637033,0.1440276518517424
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",931,Excellent,16.12875,0.8383855670458644,0.8376267178252815,0.8871168845137535,0.903245895080975,0.043294005579210496,-0.1623732821747185,0.9309198605160972,-0.34170075586080323,-1.511921069839642,0.0,-0.3338743951174576,-0.1261759806377189,-0.06527810772718881,0.039208643143088834,-0.4049113186291565,0.07828520684882422,-0.05882215850839755
